account_id,customer_id,balance,iban
232,170,-2543064,ME36776000984665239295
233,226,-3895478,SI26264942844567390
234,110,-5404955,IL555946913975253642720
235,429,-5379899,ME69832436320336983331
236,148,-9527636,RO60BLUM4985500297821964
237,288,-5364478,IS620675961212686712752231
238,54,-4312312,FR7527437125554316541120583
239,158,7214168,FO3147591117452221
240,270,-3309441,DE65871815925958118685
241,222,-2079671,DK8065476482483543
242,160,-3777020,KW9253289386858817708914898710
243,41,5887058,PT19707872335874350464735
244,44,-4996064,GL6679130122264061
245,270,4449830,PK5006384514854873782507
246,194,9483785,RS13232483808926714262
247,158,1728806,SA6475903112066441343926
248,27,-5839317,CZ3503910583801831285341
249,115,4597187,PT90257181277282467553889
250,119,-8221601,MT88KUVL53650585234610870604628
251,378,-8773617,AT021203886288864284
252,352,-5217465,CY63181463837183547527171253
253,450,4357708,SM5625806473355628860452135
254,383,-3679286,IE12IERY58306227727940
255,293,7744747,SA8682070858303838411615
256,75,7516532,FI7006221754644147
257,481,9955467,MT54GFGN85621166665288376613532
258,72,-4055659,AZ12728720577369059735659332
259,196,-705405,LU498821025729325991
260,476,2266871,DO26287369500667298702742748
261,349,-4518039,AL87388220871011364518770401
262,396,-7657463,MT81VIGF53589760517879554043697
263,116,6991337,CR2218580797820232616
264,122,-6471689,SE6218976219618389873101
265,79,3966289,ES0204555323872834311895
266,79,6064607,MU2566508181743055575834423907
267,360,1373614,BG02RNMD00823050641418
268,347,2335227,LI0875937587861582816
269,434,-5309624,SM4033384813781589719417657
270,18,4963105,TR731455721776933673377847
271,454,-9983627,CR3530579961877177732
272,158,-6951230,IE31ERSB34339226757968
273,135,732707,MU1373856286769304815613162345
274,326,-3922673,SA8035491766897235652271
275,235,-7796387,RS24952571078115367118
276,61,-2964542,AD5076158197768505218117
277,484,3993184,MU0378443879117666666534641635
278,380,2095531,DO53447978754474635225478655
279,23,3773212,GB94KAXX61356731680052
280,362,-6893448,RO03KBNO7947868731184512
281,489,9905592,NL81OGSF6856818155
282,117,-8774749,CZ7388409335873726766578
283,109,7416893,ME66812555445489605331
284,68,-7254995,IS313158658764766076886145
285,220,-5015311,DK0416851582523321
286,294,1353614,GB24UYHL77457817743164
287,42,-1105952,NO0372746833227
288,165,2196476,AD1849366755392474988201
289,386,1109520,BH17794555682730582244
290,447,7205223,GI07HYGR126312481417125
291,187,-9220768,SA5678525132409748579161
292,102,2133708,GB27VMSO36923042156464
293,257,-1539649,TN7292888616563595042945
294,150,-8984459,AZ23437740834976131128341581
295,456,-3244487,BE08048871877294
296,228,-9444507,MR4924654511637503676711665
297,43,-8361704,RO84RBLT7658268431573345
298,12,2311385,KZ763504215621740769
299,441,-3844948,AL10369703787752665475622533
300,324,8481039,GT47244882813215143589880371
301,349,-2521737,BE59103543016764
302,250,-4104369,RO38BQYU4845829843127774
303,426,915710,MC6714172130507154282123872
304,16,-8763381,SK9726236708376578736261
305,92,8404896,CZ9578167188460355313701
306,227,-1388091,BA261882707158745205
307,405,260589,HR6825292773671613458
308,302,4085099,RS13233460158821196423
309,471,5580556,PL62620181441825784877010323
310,256,2851966,LU111257848934450877
311,370,1365499,MD0589773311139158470838
312,309,1425553,GL8654624737312254
313,87,6013393,CZ8667585072124752642134
314,24,-4770160,IE17STTU51855489388240
315,446,3568601,CY96682743112277023740368631
316,387,-3702897,FO3139573858420810
317,13,-398380,ME93057727433685687707
318,427,4540486,PT36178522618062724713465
319,327,2912246,CH3696666466963773068
320,347,5614729,MR9140808198794782824654608
321,343,9333655,LV20OFQN6737431585982
322,39,9092364,HR4251503545847311296
323,280,-8455551,BE59781251634036
324,110,1991139,PK3825463419382322378883
325,27,5526458,IL297879181988768351573
326,331,-9512693,FO6848306483662579
327,454,9654026,LB40719515719574777651737784
328,486,7944884,PK9291166152383620451685
329,144,-9748168,HR6050168073325224243
330,429,-7751451,ES1944741901542518281490
331,194,4028302,FI4116504458702388
332,90,-7103876,NO2162195134491
333,451,-6497146,RS21885834077702469456
334,283,3060018,TR261791331323588818472367
335,277,8239675,FI1664542458883446
336,121,3240836,BH16184158460566974345
337,98,6063143,AZ78688509042481277637666288
338,414,8386485,HR5023517217838736036
339,256,-734570,PS788389357412796157982244274
340,392,3497900,SA3164386211131847337838
341,223,3418923,PK2608237468053460198979
342,269,6673898,SI83619957482238942
343,190,-4226503,MK34035515611364368
344,258,-2091098,AD8409235001725759261558
345,469,4148401,SA6321285641974598337891
346,298,-220220,KZ568034214811732148
347,446,-5374678,DK8539511377578451
348,409,5220514,SK0246775744488885723647
349,284,3312049,AD9108493676787783726438
350,108,5839862,DK9534813456860224
351,370,1683523,AT344984549972143654
352,30,4236924,BA342377830916213379
353,201,8657040,BH51632105456467492153
354,421,-6230973,LV47YLDO7436150451343
355,392,3394123,HR2901563430755136948
356,440,-2958686,ME18647334213183117699
357,409,8325578,NL62CRGR7821676118
358,471,6332537,HU85375662144386234427073536
359,236,4683558,CR1123551769577856144
360,439,1602848,IL252130078548197118779
361,2,-1590581,NL24NWHN6414542882
362,319,8657745,AZ84787788162387722664418466
363,160,9125196,FR3436521871413565113665360
364,71,-6366861,NL02JJSM5649384725
365,329,-9130968,LB77662587833418191248100217
366,282,8363272,BH32574152170226638675
367,95,-9301570,BA857761477830741927
368,133,-1017295,FO4036754734688525
369,185,-9542929,VG6921386609676394457435
370,94,8293445,AE827195337511890377139
371,419,9606530,GT23622450677111961786567956
372,252,4155243,PS971895605967265987785538615
373,265,-3882814,GR0224512358327762423293638
374,97,3481904,GI17WUUH834803238234736
375,118,-728693,GI67LJPG681131812730551
376,487,-5245773,PL18438888126807778121407646
377,93,9940448,AT695832812366263147
378,54,6634122,GT89602838721001274318171481
379,4,-4296534,GI15TBRH703334122302021
380,368,-3637815,DO59547635323167557587514428
381,177,-2843166,SA2645314513874065320119
382,307,2685932,IE70TTHX79401060496255
383,181,-2032720,BG41JTOF31485835633745
384,42,-3100159,LV47HDBW9927614642677
385,106,6879358,EE358782511436073840
386,62,1261033,SE4775486449049526425888
387,348,1480405,SE9398546019801585945048
388,111,-2489247,KZ494717034176651341
389,43,7402644,LU265899866102175369
390,177,-5407958,AE819756234379406577655
391,197,2641902,IL221415881232454599469
392,172,6233957,IL207285782128254527721
393,320,7744617,SA2572614707316675777962
394,315,-6017072,DE15141278666762243047
395,447,-9475985,IL355282872381139531250
396,292,-2744989,AD1989605214144409117250
397,441,-8750158,DK7542091886255135
398,319,9750319,MD9815482510562491470266
399,31,-4221753,DO72055766370570382548628086
400,145,-8076292,SM8311798414215862593081646
401,46,9926381,DO57002362658734754144703382
402,77,6861725,BE24723761988170
403,62,-1625617,FO6792868383005438
404,324,-7719169,ME87014806141456445831
405,304,-5391225,KZ711312467113374390
406,176,-7319133,PS045279555925472516672282656
407,40,2671447,GT27653647901667131512944111
408,386,2675908,TN1131732665175389786716
409,411,5173233,MT63SJBF23032438580454775741298
410,380,-8177334,MR0482026110395861000663603
411,277,2762353,GL0865489614618518
412,229,5857479,SM7053626581175286523687961
413,302,-6557849,IT561KNIRI55528365533265707
414,259,557430,CH4252017028678272518
415,295,4688498,CH3991727435353368479
416,9,-4334051,BG40JOSV54025566825585
417,453,-1806328,GI25OPMI072144973861691
418,40,9021209,KZ858188288677562262
419,284,-322979,EE336286218618805221
420,343,2707770,NO7565344680257
421,218,5157347,SM7264517764612547519417169
422,46,-3176884,TR268884792785844257681053
423,469,-9069606,SM5582418965866219238551178
424,12,4789480,TR392744404888713713226423
425,460,-3237349,SI79972261353547950
426,141,-4499261,DE64111496513124656332
427,373,7795156,SK4522332985422941529344
428,61,9040820,LB23113858618735722877635478
429,17,2647850,IL646037025273878424561
430,367,-7683684,GL1875087105167039
431,140,-7366833,LI7325978638615347843
432,343,8157034,PT16242201025527297134515
433,383,2737210,CY76453817464632838212381360
434,440,8447538,TR297525850674468681628813
435,288,-1987268,GB50IYIY55436765471529
436,217,2781775,MC9740214134113927734943978
437,439,1979260,CR8127449614882092770
438,95,-403221,KW3062363717006853492463655132
439,361,3694963,IS936332453882972688583310
440,38,-9658236,LI2654451367255716551
441,491,7324708,CZ5148711760314114645512
442,75,2976467,TR343150305229171208257713
443,121,-3439576,AZ14614031532421095392046260
444,199,7304062,AL64176253801308245216537272
445,422,-1373566,PS927170617271738485566825488
446,17,-9362137,HR2593482456272210973
447,53,7888087,BE13155337768771
448,43,-4522072,PT93377476746671278651858
449,283,-9479996,ES2025352500333535438333
450,378,4357521,BA557948455313582245
451,23,1463306,PK2621763688673237826511
452,211,5247848,BA283207662711486456
453,69,-9316225,FO2487704289734510
454,19,9315220,FI4941286926114837
455,58,2623244,AZ26927942467983277685140685
456,107,-1839942,LT118282136797271342
457,364,-8379231,PK0654738270544660694394
458,252,4813320,MC8450638811088671214477642
459,260,-1664507,HR1952897718119964660
460,57,1962420,CZ2747836422813812138436
461,178,-3135624,NL41QJBE0166388148
462,424,-837541,GT39824075633381662218403642
463,392,98299,ES7545503986806753917358
464,146,4839764,AT986968684115228206
465,209,262925,NL32QEIX2167263621
466,480,-3070305,PS813262337372656948854718364
467,215,-3136513,GI15CRVB291801257918888
468,214,9110335,GR7234591392000167211314165
469,318,9442947,KW0745444717016418668963387271
470,267,-237282,CR1717384312744745996
471,466,109632,SE2631431751681342756154
472,128,7343082,ES8578293469516423872475
473,295,-9797650,FI7006156772986535
474,111,-8832299,ME12595239639687574627
475,325,9605830,GE95333619338450033538
476,475,4864968,GL7327577663347698
477,324,-1688244,MC9336833629342014567912135
478,12,-6956193,HR6946558595273534319
479,230,-2435059,PK9564687732308385164880
480,410,4340793,IL781551947649166156712
481,104,6986455,TN5377646587538762233917
482,407,958609,GB12DYDG52595377737179
483,297,-6953903,DK9441861929611040
484,89,7500717,DO83466825766661726346544546
485,186,6412544,MR7033765345665733630268112
486,458,5444644,HU81517966757320352683231954
487,308,-8953706,HR4067777895121661574
488,371,-7690763,TR761614578406977360387869
489,206,3280264,SI40610135614258245
490,424,8427807,BG70NEBC32642250726827
491,65,9356129,GI81FMJC764133627702251
492,164,8843634,PT49607985441814326156356
493,400,4143950,NO4217241934360
494,443,-2255225,SK8983606425189223695984
495,386,2608203,RS41163577152953888938
496,310,9259082,BG10DVBI29525742165429
497,254,7070442,MK90371233785769035
498,315,-2869966,SM0675820664698261437895824
499,208,6945865,CR0218648421878344681
500,15,4618809,AE813289947274737771878
